SymbolID,n_Buy,n_Hold,n_Sell,np_Buy,np_Hold,np_Sell,np_p25_Buy,np_p25_Hold,np_p25_Sell,np_p50_Buy,np_p50_Hold,np_p50_Sell,np_p75_Buy,np_p75_Hold,np_p75_Sell,p_Buy,p_Hold,p_Sell,p_avg_Buy,p_avg_Hold,p_avg_Sell,p_max_Buy,p_max_Hold,p_max_Sell,x_dec
S94311056,7.67544702942,0.202482037884,0.0286882306534,6.43368934229,0.103759354667,0.112917335847,0.238360348243,0.0441240689562,0.112917335847,0.288351862743,0.0518796773335,0.112917335847,0.328143469356,0.0596352857107,0.112917335847,11.588102165,0.327777777778,0.666666666667,0.4635240866,0.163888888889,0.666666666667,0.60162601626,0.177777777778,0.666666666667,Sell
S175871,0.134589502019,0.0,0.0,0.151404363448,0.0,0.0,0.151404363448,0.0,0.0,0.151404363448,0.0,0.0,0.151404363448,0.0,0.0,0.412698412698,0.0,0.0,0.412698412698,0.0,0.0,0.412698412698,0.0,0.0,Hold
S1913464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sell
S3682384,0.726783310902,0.0,0.0,0.43353196188,0.0,0.0,0.43353196188,0.0,0.0,0.43353196188,0.0,0.0,0.43353196188,0.0,0.0,0.508532423208,0.0,0.0,0.508532423208,0.0,0.0,0.508532423208,0.0,0.0,Buy
S94311056,5.53739665449,0.0,0.00717205766334,5.58557551456,0.0,0.0105860002357,0.220118651474,0.0,0.0105860002357,0.288351862743,0.0,0.0105860002357,0.309705286643,0.0,0.0105860002357,11.8312094752,0.0,0.125,0.56339092739,0.0,0.125,0.75,0.0,0.125,Buy
S4258978,0.0,0.0,0.00717205766334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buy
S3515147,0.0,0.0914435009798,0.0,0.0,0.195079100292,0.0,0.0,0.0837653425819,0.0,0.0,0.0975395501461,0.0,0.0,0.11131375771,0.0,0.0,0.966666666667,0.0,0.0,0.483333333333,0.0,0.0,0.5,0.0,Sell
S3682384,0.0,0.633572828217,0.0,0.0,0.222872406843,0.0,0.0,0.222872406843,0.0,0.0,0.222872406843,0.0,0.0,0.222872406843,0.0,0.0,0.28,0.0,0.0,0.28,0.0,0.0,0.28,0.0,Hold
S48162117,0.0,0.254735467015,0.0,0.0,0.280022207721,0.0,0.0,0.135945000896,0.0,0.0,0.14001110386,0.0,0.0,0.144077206824,0.0,0.0,0.784615384615,0.0,0.0,0.392307692308,0.0,0.0,0.4,0.0,Buy
S5131181,0.415304749087,0.0522534291313,0.0,0.521636712794,0.114295044874,0.0,0.071604602677,0.114295044874,0.0,0.105236843876,0.114295044874,0.0,0.12224894479,0.114295044874,0.0,1.99791772805,0.5,0.0,0.39958354561,0.5,0.0,0.6,0.5,0.0,Hold
S1139883,0.503749278985,0.0,0.0,0.322742673333,0.0,0.0,0.108030127656,0.0,0.0,0.161371336666,0.0,0.0,0.214712545677,0.0,0.0,0.721518987342,0.0,0.0,0.360759493671,0.0,0.0,0.388185654008,0.0,0.0,Hold
S1367196,0.196116131513,0.215545395167,0.0,0.188949337675,0.0994861429306,0.0,0.188949337675,0.0994861429306,0.0,0.188949337675,0.0994861429306,0.0,0.188949337675,0.0994861429306,0.0,0.426666666667,0.214285714286,0.0,0.426666666667,0.214285714286,0.0,0.426666666667,0.214285714286,0.0,Sell
