Buy,Hold,Sell,Confidence,label
0.434741419799,0.459343130818,0.105915449383,0.32281455669,Sell
0.236554210895,0.522014679728,0.241431109378,0.385472594359,Hold
0.433301281381,0.566698718619,0.0,0.0345875834125,Sell
0.659058652306,0.340941347694,0.0,0.385472594359,Buy
0.478822814465,0.461522433682,0.0596547518531,0.273827363603,Buy
0.4478064316,0.5521935684,0.0,0.385472594359,Buy
0.42126865625,0.470126549415,0.108604794335,0.210030088886,Sell
0.413828801696,0.379350842368,0.206820355935,0.385472594359,Hold
0.292888136416,0.615569234612,0.0915426289723,0.385472594359,Buy
0.358301522461,0.491319912617,0.150378564922,0.385472594359,Hold
0.298969639739,0.520985853977,0.180044506283,0.385472594359,Hold
0.436489348348,0.439022735879,0.124487915773,0.385472594359,Sell
0.464030836938,0.493302993859,0.0426661692031,0.210030088886,Hold
0.463850318845,0.44457793661,0.0915717445452,0.297751341622,Buy
0.376482634123,0.533856193448,0.089661172429,0.268510924043,Sell
0.383377373129,0.532938865938,0.0836837609337,0.268510924043,Buy
0.33057018288,0.498007075632,0.171422741487,0.31529559217,Sell
0.538465913899,0.41979805124,0.0417360348609,0.307498147482,Buy
0.321055099177,0.509943124259,0.169001776564,0.385472594359,Sell
0.490056875741,0.453609198737,0.0563339255215,0.385472594359,Buy
0.370607384544,0.509775591202,0.119617024254,0.335346164224,Hold
0.526661030369,0.404792911766,0.0685460578649,0.385472594359,Buy
0.424333962633,0.575666037367,0.0,0.385472594359,Buy
0.659058652306,0.340941347694,0.0,0.385472594359,Buy
0.466366150511,0.376104415745,0.157529433744,0.385472594359,Sell
0.236554210895,0.5521935684,0.211252220705,0.385472594359,Sell
0.342180321247,0.501140948396,0.156678730357,0.385472594359,Hold
0.497878776845,0.448573850949,0.0535473722057,0.297751341622,Buy
0.366872139252,0.491835791056,0.141292069693,0.385472594359,Hold
0.399547697383,0.515799701257,0.0846526013598,0.210030088886,Buy
0.372957773547,0.48633903397,0.140703192482,0.385472594359,Sell
0.455503880937,0.435085429452,0.10941068961,0.385472594359,Sell
0.347210136026,0.461656902383,0.191132961591,0.385472594359,Sell
0.413344492446,0.445111936612,0.141543570942,0.326991759201,Buy
0.393190703047,0.606809296953,0.0,0.0345875834125,Sell
0.4478064316,0.376150051145,0.176043517255,0.385472594359,Sell
0.377389024698,0.511116747707,0.111494227595,0.385472594359,Hold
