ExpertID,SymbolID,Buy_p,Buy_r,Buy_n,Hold_p,Hold_r,Hold_n,Sell_p,Sell_r,Sell_n,Buy_n_norm,Hold_n_norm,Sell_n_norm
208,S94311056,0.0,0.0,5,0.0,0.0,2,0.125,1.0,1,0.019227071716977504,0.013063357282821686,0.0071720576633436135
209,S3754891,0.75,0.5,6,0.0,0.0,1,0.0,0.0,0,0.023072486060373005,0.006531678641410843,0.0
209,S46451100,0.5,1.0,1,0.0,0.0,1,0.0,0.0,0,0.003845414343395501,0.006531678641410843,0.0
221,S104037,1.0,1.0,2,0.0,0.0,0,0.0,0.0,0,0.007690828686791002,0.0,0.0
221,S10502119,1.0,1.0,1,0.0,0.0,0,0.0,0.0,0,0.003845414343395501,0.0,0.0
221,S14363193,0.66666666666666663,1.0,4,1.0,0.33333333333333331,3,0.0,0.0,0,0.015381657373582004,0.019595035924232528,0.0
221,S1627863,0.0,0.0,0,1.0,0.25,4,0.0,0.0,0,0.0,0.02612671456564337,0.0
221,S17283111,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.006531678641410843,0.0
221,S1940885,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0071720576633436135
221,S21249258,0.66666666666666663,1.0,4,0.0,0.0,2,0.0,0.0,0,0.015381657373582004,0.013063357282821686,0.0
221,S24027218,0.16666666666666666,1.0,1,0.0,0.0,2,0.0,0.0,3,0.003845414343395501,0.013063357282821686,0.02151617299003084
221,S29593164,0.66666666666666663,1.0,2,0.0,0.0,1,0.0,0.0,0,0.007690828686791002,0.006531678641410843,0.0
221,S3407252,0.0,0.0,0,0.0,0.0,1,0.0,0.0,2,0.0,0.006531678641410843,0.014344115326687227
221,S3600150,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.006531678641410843,0.0071720576633436135
221,S36297,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0071720576633436135
221,S37310117,0.83333333333333337,1.0,5,0.0,0.0,0,0.0,0.0,1,0.019227071716977504,0.0,0.0071720576633436135
221,S39189147,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0071720576633436135
221,S44420110,0.20000000000000001,1.0,1,0.0,0.0,2,0.0,0.0,2,0.003845414343395501,0.013063357282821686,0.014344115326687227
221,S4496116,0.0,0.0,0,0.0,0.0,2,0.0,0.0,1,0.0,0.013063357282821686,0.0071720576633436135
221,S516354,0.25,1.0,1,0.0,0.0,2,0.0,0.0,1,0.003845414343395501,0.013063357282821686,0.0071720576633436135
221,S536481,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0071720576633436135
221,S5872139,1.0,1.0,1,0.0,0.0,0,0.0,0.0,0,0.003845414343395501,0.0,0.0
221,S591675,1.0,1.0,1,0.0,0.0,0,0.0,0.0,0,0.003845414343395501,0.0,0.0
222,S11158180,0.25,1.0,1,0.0,0.0,2,0.0,0.0,1,0.003845414343395501,0.013063357282821686,0.0071720576633436135
222,S14670347,0.5,1.0,5,0.0,0.0,3,0.0,0.0,2,0.019227071716977504,0.019595035924232528,0.014344115326687227
222,S1693773,0.0,0.0,0,0.0,0.0,1,0.0,0.0,1,0.0,0.006531678641410843,0.0071720576633436135
222,S2262101,0.0,0.0,0,1.0,1.0,1,0.0,0.0,0,0.0,0.006531678641410843,0.0
