ExpertID,Buy_p,Buy_r,Buy_n,Hold_p,Hold_r,Hold_n,Sell_p,Sell_r,Sell_n,Buy_n_norm,Hold_n_norm,Sell_n_norm
208.0,0.0,0.0,5.0,0.0,0.0,2.0,0.125,1.0,1.0,0.019227071717,0.0130633572828,0.00717205766334
209.0,0.666666666667,0.571428571429,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0269179004038,0.0130633572828,0.0
221.0,0.40350877193,1.0,23.0,1.0,0.0952380952381,21.0,0.0,0.0,15.0,0.0884445298981,0.13716525147,0.10758086495
222.0,0.477272727273,0.913043478261,23.0,0.428571428571,0.1875,16.0,0.0,0.0,12.0,0.0884445298981,0.104506858263,0.0860646919601
223.0,0.5,0.875,8.0,0.5,0.166666666667,6.0,0.0,0.0,2.0,0.0307633147472,0.0391900718485,0.0143441153267
224.0,0.423076923077,0.916666666667,12.0,0.6,0.230769230769,13.0,0.0,0.0,6.0,0.0461449721207,0.0849118223383,0.0430323459801
227.0,0.428571428571,0.5,6.0,0.142857142857,0.333333333333,3.0,0.0,0.0,7.0,0.0230724860604,0.0195950359242,0.0502044036434
229.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.00653167864141,0.00717205766334
230.0,0.75,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0115362430302,0.00653167864141,0.0
231.0,1.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019227071717,0.0,0.0
232.0,1.0,0.333333333333,3.0,0.333333333333,1.0,1.0,0.0,0.0,0.0,0.0115362430302,0.00653167864141,0.0
234.0,0.0,0.0,3.0,0.166666666667,0.5,2.0,0.0,0.0,4.0,0.0115362430302,0.0130633572828,0.0286882306534
235.0,0.2,0.2,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.019227071717,0.0130633572828,0.0143441153267
241.0,1.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019227071717,0.0,0.0
242.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0115362430302,0.00653167864141,0.0143441153267
243.0,0.285714285714,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.00769082868679,0.00653167864141,0.0286882306534
244.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.00653167864141,0.00717205766334
245.0,0.307692307692,0.8,5.0,0.142857142857,0.5,2.0,0.0,0.0,13.0,0.019227071717,0.0130633572828,0.0932367496235
249.0,0.428571428571,0.5,6.0,0.333333333333,0.5,2.0,0.5,0.333333333333,6.0,0.0230724860604,0.0130633572828,0.0430323459801
251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00717205766334
252.0,1.0,0.666666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115362430302,0.0,0.0
254.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038454143434,0.0,0.0
259.0,0.692307692308,1.0,18.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0692174581811,0.0391900718485,0.0143441153267
